input_size,block_size,insertion_s-1,insertion_s-22,insertion_s-57,insertion_s-101,insertion_s-611
5000,250,314633,315866,316509,314975,316631
5000,500,629288,632065,629490,629679,628349
5000,1000,1244437,1253895,1241485,1241047,1246379
5000,2500,3106126,3118128,3094015,3214241,3063410
15000,750,2853796,2807115,2807715,2829640,2813004
15000,1500,5648832,5609822,5623113,5670833,5598055
15000,3000,11223355,11215483,11275531,11278865,11184984
15000,7500,27984216,28030642,28476410,28077483,27694635
25000,1250,7836607,7793987,7775095,7816603,7792615
25000,2500,15720714,15695155,15596566,15720814,15451178
25000,5000,31184315,31356285,31116162,31386680,30957740
25000,12500,78343792,77824674,78582588,78374279,78087675
35000,1750,15426855,15314897,15368545,15369865,15384877
35000,3500,30795874,30548246,30553150,30773735,30806839
35000,7000,61331582,61158422,61314550,61209635,60915358
35000,17500,153417290,153016828,152641478,153231498,153526108
45000,2250,25433226,25381610,25314245,25322624,25314917
45000,4500,50829587,50720207,50685975,50485000,50763420
45000,9000,100921435,101073428,101038586,100772350,101466383
45000,22500,252470762,252165010,252253168,251009234,252296560
55000,2750,37847161,37850518,37774058,37987757,37937518
55000,5500,75555537,75636139,75506796,75602724,75792133
55000,11000,150952758,150704609,151684644,150837127,151277228
55000,27500,377990611,377051059,377502370,376345752,376937436
65000,3250,52711000,52859763,52725250,52914228,52812399
65000,6500,105718003,105672025,105704707,105320565,105460254
65000,13000,211645662,210681097,211040775,210058653,210798717
65000,32500,529694147,526715151,527809163,526791282,528532542
75000,3750,70459717,70270328,70461193,70579250,70090460
75000,7500,140411050,140662802,141179226,140418445,140259786
75000,15000,280974972,281291605,281826096,279656277,280923917
75000,37500,700991077,702194431,702696675,701566405,700040212
85000,4250,90375079,90339703,90332393,90719216,90272593
85000,8500,180594241,180481338,180835557,180952156,180460918
85000,17000,361403937,361760848,361293464,360811886,361081432
85000,42500,902410738,902084445,904333897,901761223,901385891
95000,4750,112489831,112429141,112894716,112710643,113052398
95000,9500,225174870,224759108,225499780,224608408,225177736
95000,19000,449810444,451626367,451224257,450131747,450892647
95000,47500,1130234249,1126660688,1130617175,1125738029,1128909524
105000,5250,137126045,137418630,137959462,138158423,138063201
105000,10500,275776146,275393830,275710110,275298388,276523846
105000,21000,552178699,550063247,548576691,548892448,551587474
105000,52500,1378290016,1375666267,1378014605,1371556020,1379285577
115000,5750,164887456,165147516,165382691,165411132,164899815
115000,11500,329420001,329641370,330573027,329180846,330676098
115000,23000,659134455,659262813,659486859,659741963,660611816
115000,57500,1652332154,1653573398,1652058281,1648210427,1653774161
125000,6250,195370576,195412337,195149062,195111507,195453987
125000,12500,391099440,389549831,390220268,390291029,389751839
125000,25000,779820843,780819133,780049166,780491897,781173054
125000,62500,1952613979,1950781077,1950763919,1951239843,1953838657
135000,6750,228363174,227807108,227797068,228272874,227775963
135000,13500,456678581,454859205,456591902,454718105,454486264
135000,27000,913112936,908442880,911226526,910776359,912922301
135000,67500,2273450489,2280697698,2278467048,2279793853,2280606834
145000,7250,262217621,262375404,262434015,263027483,262022535
145000,14500,526631547,526061391,525412132,524846623,525093409
145000,29000,1050274196,1051727364,1049917056,1050410745,1051917469
145000,72500,2625167153,2622906993,2629917466,2631477401,2634209827
