input_size,block_size,insertion_s-1,insertion_s-22,insertion_s-57,insertion_s-101,insertion_s-611
5000,250,0.001142,0.001145,0.001163,0.00114,0
5000,500,0.002177,0.002496,0.002226,0.00223,0.00249
5000,1000,0.004338,0.004399,0.004432,0.004342,0.004343
5000,2500,0.013824,0.013863,0.013972,0.014701,0.013848
15000,750,0.010513,0.009979,0.007998,0.010238,0.00996
15000,1500,0.022398,0.021281,0.021834,0.018129,0.021218
15000,3000,0.055336,0.052116,0.052678,0.052296,0.052048
15000,7500,0.152295,0.152781,0.157265,0.154964,0.150062
25000,1250,0.080819,0.02864,0.027886,0.028124,0.027853
25000,2500,0.070415,0.070272,0.060281,0.070204,0.069666
25000,5000,0.159715,0.164373,0.16107,0.162644,0.159016
25000,12500,0.484849,0.51886,0.491061,0.474671,0.47923
35000,1750,0.060954,0.061963,0.062927,0.060638,0.060916
35000,3500,0.150083,0.148753,0.151968,0.148794,0.150649
35000,7000,0.329786,0.329266,0.330338,0.330544,0.330777
35000,17500,1.04532,1.03295,1.02149,1.02448,1.04022
45000,2250,0.110459,0.11068,0.109247,0.108808,0.10996
45000,4500,0.25822,0.267998,0.259098,0.256633,0.258097
45000,9000,0.566996,0.560263,0.56489,0.56382,0.574394
45000,22500,1.92932,2.01757,2.02513,1.93398,1.93984
55000,2750,0.189657,0.172573,0.179417,0.172645,0.179093
55000,5500,0.402656,0.398417,0.408747,0.396983,0.404153
55000,11000,0.917046,0.94976,0.892396,0.929952,0.910086
55000,27500,3.24706,3.18956,3.19434,3.15177,3.14267
65000,3250,0.253331,0.255831,0.249096,0.243569,0.253598
65000,6500,0.568338,0.559389,0.564138,0.569083,0.564435
65000,13000,1.2923,1.28259,1.29705,1.30142,1.28179
65000,32500,4.63213,4.61153,4.63441,4.60456,4.66602
75000,3750,0.349624,0.345743,0.346977,0.347547,0.344131
75000,7500,0.768376,0.765323,0.762035,0.779096,0.754478
75000,15000,1.80768,1.81402,1.82264,1.79293,1.80137
75000,37500,6.51671,6.44302,6.49849,6.48947,6.48527
85000,4250,0.455267,0.452842,0.457758,0.451029,0.457559
85000,8500,1.03638,1.05723,0.99958,0.99824,0.997365
85000,17000,2.43431,2.80126,2.44438,2.44404,3.80019
85000,42500,8.79301,8.73996,8.73691,8.69811,8.71202
95000,4750,0.570535,0.576491,0.588171,0.577368,0.581704
95000,9500,1.26412,1.26232,1.27203,1.25631,1.26154
95000,19000,3.14604,3.11523,3.17381,3.16079,3.16277
95000,47500,11.2303,11.2234,11.2435,11.2965,11.2653
105000,5250,0.71529,0.718547,0.713687,0.713122,0.713445
105000,10500,1.58681,1.58224,1.57908,1.58102,1.58453
105000,21000,3.99937,4.0638,4.09274,4.01465,4.06237
105000,52500,14.0786,14.1553,14.1067,14.027,14.0797
115000,5750,0.865472,0.87007,0.871484,0.866976,0.868902
115000,11500,1.93899,1.94293,1.95286,1.9337,1.9365
115000,23000,4.96199,5.04127,4.94175,5.01008,5.01394
115000,57500,17.2875,17.3444,17.3226,19.8295,17.3581
125000,6250,1.03261,1.0358,1.49357,1.04332,1.033
125000,12500,2.35609,2.34056,2.3605,2.3615,2.34554
125000,25000,6.1024,6.13492,6.15359,6.19673,6.17362
125000,62500,20.8724,21.0334,20.8012,20.8112,20.8348
135000,6750,1.22376,1.21726,1.21736,1.21602,1.22202
135000,13500,2.82248,2.83417,2.83036,2.84211,2.78279
135000,27000,7.43519,7.54377,7.92543,7.36153,7.36398
135000,67500,24.6904,24.796,24.8033,24.7432,24.7449
145000,7250,1.41404,1.41419,1.41382,1.43037,1.41929
145000,14500,3.333,3.31924,3.3278,3.33778,3.31334
145000,29000,8.78137,8.84568,8.88153,8.81069,8.87451
145000,72500,28.976,29.0298,29.1722,29.0149,29.2133
