input_size,block_size,quick_s-1,quick_s-22,quick_s-57,quick_s-101,quick_s-611
5000,250,90428,91979,91724,91722,91859
5000,500,92096,94127,94373,91416,92576
5000,1000,91919,95206,97217,94933,95765
5000,2500,93914,97896,93603,99032,95052
15000,750,317104,318112,323772,319220,320851
15000,1500,325231,323213,330129,329024,329741
15000,3000,328931,327027,321518,329928,328694
15000,7500,337118,345482,338972,338065,335436
25000,1250,576447,562543,561015,563252,563334
25000,2500,570949,576407,567717,570635,576115
25000,5000,576976,574268,600332,571885,583476
25000,12500,627430,589718,593198,588993,602565
35000,1750,824270,823705,816956,814822,819323
35000,3500,838402,842529,832685,824750,841316
35000,7000,840667,844672,835343,840449,850326
35000,17500,855877,967906,911216,868314,884721
45000,2250,1083072,1108615,1082523,1079696,1083325
45000,4500,1113711,1107761,1087960,1094898,1091021
45000,9000,1097908,1119258,1132129,1131301,1098441
45000,22500,1125980,1142706,1189320,1126676,1100885
55000,2750,1345409,1358672,1366310,1351791,1353672
55000,5500,1391585,1409261,1389688,1374316,1381144
55000,11000,1365224,1381380,1410280,1410387,1404661
55000,27500,1376789,1397344,1391701,1407279,1410587
65000,3250,1640354,1658372,1631157,1619250,1611810
65000,6500,1650730,1649177,1644297,1650992,1675318
65000,13000,1697483,1672286,1725712,1645619,1701169
65000,32500,1751513,1794391,1732564,1679300,1686277
75000,3750,1896116,1915883,1929284,1933383,1940875
75000,7500,1938674,1919375,1927104,1914964,1918683
75000,15000,1984386,1961759,2058844,1979589,1964345
75000,37500,1933192,1979143,2015008,1983475,2009310
85000,4250,2195088,2189273,2178481,2205981,2180484
85000,8500,2249298,2211180,2198501,2214092,2221498
85000,17000,2230742,2241262,2300157,2301770,2232305
85000,42500,2228129,2324791,2310563,2297677,2298780
95000,4750,2480180,2497161,2501808,2474275,2519591
95000,9500,2499302,2493573,2466305,2504787,2509657
95000,19000,2526100,2567581,2540419,2531970,2581371
95000,47500,2670212,2649858,2514702,2542615,2516349
105000,5250,2768245,2777771,2765561,2760821,2779116
105000,10500,2825193,2822922,2811623,2790245,2864680
105000,21000,2858381,2807199,2927420,2801113,2839150
105000,52500,2920336,2848347,2862972,2799398,2838890
115000,5750,3049396,3083167,3090191,3108597,3065132
115000,11500,3119641,3082941,3103440,3097019,3117295
115000,23000,3075604,3107128,3128008,3133137,3172093
115000,57500,3166370,3244795,3114477,3102915,3206371
125000,6250,3360572,3340045,3392015,3416793,3335698
125000,12500,3374695,3375487,3395983,3383303,3378648
125000,25000,3375591,3411772,3360144,3476871,3412643
125000,62500,3482921,3594845,3484458,3374196,3407230
135000,6750,3636158,3625916,3666390,3640950,3686377
135000,13500,3747091,3667858,3632758,3745221,3700233
135000,27000,3740778,3786345,3629855,3694125,3666427
135000,67500,3696897,3819606,3773210,3801885,3729142
145000,7250,3934948,3959821,3916693,3951329,3962457
145000,14500,4013388,4007344,3958498,3944437,4015719
145000,29000,4113257,4084603,4031682,4017364,4047600
145000,72500,4194703,4331066,4012040,4145468,4063898
150000,7500,4080276,4056022,4084836,4072801,4118624
150000,15000,4172569,4082324,4143887,4161243,4186660
150000,30000,4152764,4292320,4178210,4292004,4230502
150000,75000,4283287,4350802,4100127,4127474,4342886
300000,15000,8804367,8781761,8751632,8787251,8685047
300000,30000,8834440,8935540,8774050,8811744,8775473
300000,60000,8991524,8923227,8752807,8983516,9089585
300000,150000,8924990,9044601,9098855,8834429,9039075
600000,30000,18430361,18459667,18534391,18710470,18664743
600000,60000,18843447,18755553,18852944,18627665,18761616
600000,120000,19028213,18859683,18769447,18754154,18750879
600000,300000,19399524,19156328,18995646,18988483,19195999
1200000,60000,39245370,39402091,38851635,39120807,39244570
1200000,120000,39796149,39357936,39168623,39443635,39608584
1200000,240000,40396708,40629054,39428753,39463992,40351795
1200000,600000,39504863,40365500,40689704,40241967,40259890
2400000,120000,82129723,83085744,82537661,82463916,82166469
2400000,240000,84740956,84219213,83925257,84477981,83852864
2400000,480000,85126277,86212348,84040593,84738212,85636592
2400000,1200000,85630022,87226603,86098450,85056957,85198970
4800000,240000,175385133,173986018,173953166,175865096,173795265
4800000,480000,176096921,178170468,176046745,176206095,176030096
4800000,960000,178932440,178165691,176922540,179400530,179584611
4800000,2400000,175204338,179611743,178553336,180149486,180713099
9600000,480000,367086720,365634615,366417112,366157576,368074899
9600000,960000,370466450,368808195,371346010,371369128,368673283
9600000,1920000,376453230,372442713,374463936,371318530,369795805
9600000,4800000,374953888,374587954,382810607,378783916,377429249
19200000,960000,772679839,759450285,763647889,774501893,769625659
19200000,1920000,774687296,777752632,773941642,766778050,774622374
19200000,3840000,777245408,795114518,780201055,777782677,772634838
19200000,9600000,778999442,810128755,797718612,781430431,795307515
