input_size,block_size,quick_s-1,quick_s-22,quick_s-57,quick_s-101,quick_s-611
5000,250,0.001044,0.001085,0.001036,0.001084,0.001145
5000,500,0.001184,0,0,0.001066,0.001096
5000,1000,0.001109,0.001176,0.001148,0.001247,0.001137
5000,2500,0.001265,0,0.001645,0.00161,0.001301
15000,750,0.003619,0.003693,0.003589,0.00387,0.00373
15000,1500,0.004219,0.003908,0.003903,0.003921,0.004303
15000,3000,0.00428,0.00435,0.00418,0,0.004397
15000,7500,0.005087,0.004725,0.004612,0.004728,0.004517
25000,1250,0.006867,0.006544,0.006652,0.00684,0.006653
25000,2500,0.003545,0.007044,0.006973,0,0.007574
25000,5000,0.007447,0.007721,0.007509,0.008318,0.007382
25000,12500,0.009319,0.008877,0.00844,0,0.008315
35000,1750,0.009871,0.009755,0.009808,0.009853,0.010166
35000,3500,0.010535,0.010551,0.010673,0.010624,0.010662
35000,7000,0.011957,0.012026,0.011143,0.010841,0.011189
35000,17500,0.012678,0.013797,0.013816,0.012096,0.01062
45000,2250,0.013773,0.013867,0.013314,0.015666,0.014376
45000,4500,0.015689,0.014438,0.014473,0.014287,0.014839
45000,9000,0.015161,0.015251,0.016302,0.015538,0.018183
45000,22500,0.017199,0.01848,0.017955,0.018087,0.017125
55000,2750,0.015263,0.016647,0.016722,0.016542,0.017186
55000,5500,0.017745,0.017479,0.017942,0.017624,0.017597
55000,11000,0.01903,0.018806,0.019063,0.019079,0.020698
55000,27500,0.02214,0.02104,0.021494,0.023466,0.024576
65000,3250,0.020174,0.020061,0.023798,0.020183,0.020189
65000,6500,0.020808,0.021141,0.021514,0.021367,0.021303
65000,13000,0.02367,0.023386,0.023932,0.022718,0.024081
65000,32500,0.027946,0.027868,0.02549,0.028236,0.025722
75000,3750,0.023415,0.023877,0.023955,0.023333,0.023483
75000,7500,0.026162,0.024776,0.024903,0.024102,0.025152
75000,15000,0.0289,0.028248,0.027885,0.027845,0.029252
75000,37500,0.031127,0.031034,0.030963,0.030753,0.030883
85000,4250,0.028469,0.02726,0.032134,0.027283,0.026665
85000,8500,0.029791,0.031527,0.029545,0.029908,0.032671
85000,17000,0.032103,0.032087,0.032903,0.031395,0.031089
85000,42500,0.036626,0.037069,0.038682,0.036939,0.037412
95000,4750,0.031805,0.032009,0.032401,0.031561,0.032317
95000,9500,0.033707,0.033785,0.032597,0.034108,0.033921
95000,19000,0.037247,0.037495,0.034079,0.037158,0.041421
95000,47500,0.044409,0.041922,0.042191,0.042846,0.042015
105000,5250,0.034788,0.04298,0.036124,0.036275,0.035666
105000,10500,0.041908,0.039743,0.038964,0.038447,0.036742
105000,21000,0.044154,0.043867,0.043745,0.04239,0.044523
