input_size,block_size,k,engineered_s-1,engineered_s-101,engineered_s-611
19200000,1,5,2.67978,2.93606,2.66133
19200000,1,10,2.57459,2.58324,2.57381
19200000,1,20,2.42871,2.43198,2.40506
19200000,1,40,2.30327,2.35683,2.34367
19200000,1,100,2.26083,2.13476,2.203
19200000,19200000,5,14.1035,14.1217,14.299
19200000,19200000,10,14.1226,14.113,13.9903
19200000,19200000,20,14.1313,14.1878,14.1589
19200000,19200000,40,14.1609,14.0325,14.13
19200000,19200000,100,14.5801,14.4897,14.4197
38400000,1,5,5.3897,5.48602,5.4497
38400000,1,10,5.34444,5.41056,5.35436
38400000,1,20,5.12466,4.9866,5.0106
38400000,1,40,4.77788,4.76947,4.89914
38400000,1,100,4.60979,4.60224,4.50763
38400000,38400000,5,32.2608,33.0542,32.353
38400000,38400000,10,32.4555,32.0968,33.8954
38400000,38400000,20,32.3384,32.3182,32.5429
38400000,38400000,40,35.1023,32.5831,32.6702
38400000,38400000,100,33.4569,33.395,33.5392
76800000,1,5,11.5178,11.6273,11.7184
76800000,1,10,11.4388,11.2731,11.5441
76800000,1,20,10.7614,10.7794,10.7234
76800000,1,40,10.318,10.4511,10.2204
76800000,1,100,9.75439,9.69913,9.88675
76800000,76800000,5,79.5154,81.3192,83.19
76800000,76800000,10,82.0644,77.1066,76.8161
76800000,76800000,20,76.4055,77.2641,77.5128
76800000,76800000,40,77.2335,78.3627,78.2896
76800000,76800000,100,81.2223,85.5238,86.8127
153600000,1,5,24.7929,26.6815,24.6787
153600000,1,10,25.1267,23.9286,23.1705
153600000,1,20,22.7505,22.0871,23.7461
153600000,1,40,21.6423,21.9313,22.1161
153600000,1,100,21.3984,21.6489,21.0514
153600000,153600000,5,183.774,199.348,193.691
153600000,153600000,10,189.627,187.024,184.507
153600000,153600000,20,185.89,187.974,192.469
153600000,153600000,40,181.036,186.339,187.819
153600000,153600000,100,182.111,185.168,183.929
