input_size,block_size,quick_s-1,quick_s-22,quick_s-57,quick_s-101,quick_s-611
5000,1,0.000651,0.000696,0.000652,0.000757,0.000654
5000,500,0.001051,0.001041,0.001075,0.001027,0.001045
5000,1000,0.001139,0.001069,0.001113,0.001161,0.001092
5000,2500,0.001197,0.001174,0.001185,0.001202,0.001189
5000,5000,0.001158,0.001162,0.001298,0.001247,0.001222
15000,1,0.002254,0.002365,0.002251,0.002253,0.002334
15000,1500,0.003769,0.003691,0.003626,0.003718,0.003695
15000,3000,0,0.004087,0.003912,0.003918,0.00386
15000,7500,0.004269,0.004364,0.004224,0.004068,0.00404
15000,15000,0.004374,0.004367,0.004488,0.004372,0.004443
25000,1,0.004098,0.00405,0.004046,0.003991,0.003956
25000,2500,0.006531,0.006944,0.00327,0.006969,0.006554
25000,5000,0.007267,0.007472,0.006892,0.00728,0.007124
25000,12500,0.008795,0.00792,0.007687,0.007686,0.008631
25000,25000,0.00849,0.004056,0.008237,0.008141,0.008402
35000,1,0.00569,0.005671,0.006232,0.006237,0.002921
35000,3500,0.009691,0.009771,0.010828,0.009676,0.009628
35000,7000,0.010335,0.010493,0.010422,0.010355,0.010366
35000,17500,0.012407,0.01304,0.012189,0.011598,0.012413
35000,35000,0.012277,0.013352,0.012623,0.01289,0.013204
45000,1,0.007688,0.007548,0.007428,0.008048,0.00674
45000,4500,0.013342,0.013177,0.013136,0.014345,0.013603
45000,9000,0.013719,0.013445,0.014392,0.014637,0.015104
45000,22500,0.012973,0.017459,0.016824,0.016318,0.014342
45000,45000,0.017629,0.016534,0.014433,0.017764,0.018971
55000,1,0.009352,0.009393,0.00935,0.008186,0.009487
55000,5500,0.016988,0.016593,0.016503,0.016645,0.016816
55000,11000,0.01841,0.017359,0.017809,0.018288,0.01834
55000,27500,0.021649,0.019283,0.021112,0.020259,0.020227
55000,55000,0.021912,0.021599,0.020972,0.025025,0.022981
65000,1,0.011236,0.009943,0.011601,0.011098,0.011253
65000,6500,0.020549,0.020147,0.020457,0.021051,0.019753
65000,13000,0.024471,0.023865,0.023169,0.022083,0.023683
65000,32500,0.026543,0.02709,0.026451,0.027318,0.026402
65000,65000,0.026937,0.025608,0.030382,0.027296,0.027766
75000,1,0.013265,0.013481,0.013182,0.01325,0.013429
75000,7500,0.025548,0.025861,0.024986,0.024594,0.024558
75000,15000,0.029003,0.026512,0.027154,0.026219,0.027257
75000,37500,0.030362,0.030539,0.029254,0.030859,0.029741
75000,75000,0.033976,0.032878,0.031798,0.036104,0.031801
85000,1,0.017819,0.014403,0.015225,0.015367,0.016223
85000,8500,0.02824,0.029483,0.028712,0.029946,0.029969
85000,17000,0.032445,0.030458,0.031169,0.031158,0.031672
85000,42500,0.035589,0.036441,0.038723,0.036327,0.035277
85000,85000,0.036616,0.04212,0.046373,0.039127,0.03956
95000,1,0.01739,0.019464,0.016483,0.017819,0.017306
95000,9500,0.034161,0.034293,0.032597,0.030472,0.034156
95000,19000,0.035997,0.036563,0.035584,0.036822,0.037844
95000,47500,0.043679,0.041203,0.040937,0.043743,0.041645
95000,95000,0.05506,0.04504,0.04314,0.052161,0.043684
105000,1,0.019175,0.019407,0.019238,0.019887,0.019442
105000,10500,0.037036,0.036975,0.03878,0.038024,0.03684
105000,21000,0.041321,0.03965,0.042894,0.045419,0.040535
105000,52500,0.05464,0.047537,0.046835,0.04446,0.046825
105000,105000,0.047986,0.054062,0.048696,0.062248,0.050547
115000,1,0.021214,0.021051,0.020819,0.0209,0.02086
115000,11500,0.044827,0.045787,0.042664,0.043259,0.04205
115000,23000,0.046133,0.046283,0.046369,0.048851,0.046731
115000,57500,0.052381,0.057715,0.055438,0.053535,0.054308
115000,115000,0.057656,0.067519,0.053093,0.059421,0.056003
125000,1,0.024081,0.024043,0.021821,0.022995,0.023158
125000,12500,0.045595,0.047141,0.044631,0.047012,0.045674
125000,25000,0.049974,0.049683,0.054187,0.051182,0.050063
125000,62500,0.060981,0.071188,0.058487,0.056912,0.059208
125000,125000,0.072918,0.063504,0.066625,0.064519,0.062132
135000,1,0.025049,0.02509,0.025367,0.024447,0.025333
135000,13500,0.052391,0.052638,0.050816,0.051308,0.051733
135000,27000,0.058795,0.05608,0.057291,0.0577,0.056479
135000,67500,0.066931,0.067384,0.066934,0.066906,0.068701
135000,135000,0.072782,0.072929,0.076043,0.066587,0.076191
145000,1,0.027067,0.027415,0.027582,0.027889,0.027505
