input_size,block_size,k,engineered_s-1,engineered_s-22,engineered_s-57,engineered_s-101,engineered_s-611
5000,1,5,28780,28780,28780,28780,28780
5000,1,10,26852,26852,26852,26852,26852
5000,1,20,24668,24668,24668,24668,24668
5000,1,40,22356,22356,22356,22356,22356
5000,1,100,19924,19924,19924,19924,19924
5000,5000,5,55670,55681,55761,55736,55727
5000,5000,10,58422,58430,58740,58419,58537
5000,5000,20,66569,66474,67005,66412,66318
5000,5000,40,86166,86067,87254,86112,86054
5000,5000,100,129971,130578,131773,130310,130881
15000,1,5,99540,99540,99540,99540,99540
15000,1,10,94780,94780,94780,94780,94780
15000,1,20,88636,88636,88636,88636,88636
15000,1,40,81828,81828,81828,81828,81828
15000,1,100,74660,74660,74660,74660,74660
15000,15000,5,189906,190142,189877,189958,190028
15000,15000,10,194555,194926,194499,194520,194847
15000,15000,20,210639,211552,210752,211034,211086
15000,15000,40,252245,254137,252887,252860,253397
15000,15000,100,348064,351153,351206,347906,351049
25000,1,5,178332,178332,178332,178332,178332
25000,1,10,170140,170140,170140,170140,170140
25000,1,20,159900,159900,159900,159900,159900
25000,1,40,148636,148636,148636,148636,148636
25000,1,100,124660,124660,124660,124660,124660
25000,25000,5,334128,334196,334161,334223,334225
25000,25000,10,339532,339489,339403,339573,339510
25000,25000,20,359525,359284,360096,359742,359240
25000,25000,40,414425,414561,415224,415482,415302
25000,25000,100,825295,825461,826225,824484,827754
35000,1,5,251908,251908,251908,251908,251908
35000,1,10,239620,239620,239620,239620,239620
35000,1,20,225100,225100,225100,225100,225100
35000,1,40,208716,208716,208716,208716,208716
35000,1,100,191820,191820,191820,191820,191820
35000,35000,5,487134,487254,487227,487275,487064
35000,35000,10,502107,502052,502557,502199,502298
35000,35000,20,549593,549782,549926,549663,550426
35000,35000,40,668842,669177,667815,670390,669399
35000,35000,100,933282,935666,932810,936396,936327
45000,1,5,339340,339340,339340,339340,339340
45000,1,10,327108,327108,327108,327108,327108
45000,1,20,310724,310724,310724,310724,310724
45000,1,40,290300,290300,290300,290300,290300
45000,1,100,246892,246892,246892,246892,246892
45000,45000,5,639569,639706,639830,639797,639610
45000,45000,10,646673,646903,647079,647241,646725
45000,45000,20,677132,677006,677500,677576,676859
45000,45000,40,764264,763663,764121,764999,764549
45000,45000,100,1423820,1423264,1425543,1426557,1422984
55000,1,5,418180,418180,418180,418180,418180
55000,1,10,401796,401796,401796,401796,401796
55000,1,20,379564,379564,379564,379564,379564
55000,1,40,354988,354988,354988,354988,354988
55000,1,100,328660,328660,328660,328660,328660
55000,55000,5,798985,798849,799062,798949,798801
55000,55000,10,813008,812910,813335,813048,813100
55000,55000,20,864997,865035,865143,865605,865440
55000,55000,40,1003464,1003082,1003288,1003376,1003303
55000,55000,100,1322319,1321649,1323996,1325476,1321005
65000,1,5,502244,502244,502244,502244,502244
65000,1,10,478204,478204,478204,478204,478204
65000,1,20,450068,450068,450068,450068,450068
65000,1,40,419884,419884,419884,419884,419884
65000,1,100,388676,388676,388676,388676,388676
65000,65000,5,961045,960986,961111,960980,960909
65000,65000,10,985361,985471,985807,985245,985209
65000,65000,20,1064143,1065783,1066261,1064198,1065738
65000,65000,40,1267200,1268683,1269731,1268451,1269497
65000,65000,100,1723574,1723525,1729760,1728172,1728450
75000,1,5,578228,578228,578228,578228,578228
75000,1,10,552380,552380,552380,552380,552380
75000,1,20,519612,519612,519612,519612,519612
75000,1,40,484796,484796,484796,484796,484796
75000,1,100,448708,448708,448708,448708,448708
75000,75000,5,1127986,1128426,1128206,1128083,1128415
75000,75000,10,1164483,1164789,1164413,1164310,1164939
75000,75000,20,1277103,1277466,1276732,1276843,1276835
75000,75000,40,1554136,1553858,1556851,1555521,1553366
75000,75000,100,2167119,2174280,2175077,2173568,2168640
85000,1,5,678956,678956,678956,678956,678956
85000,1,10,659492,659492,659492,659492,659492
85000,1,20,626724,626724,626724,626724,626724
85000,1,40,589860,589860,589860,589860,589860
85000,1,100,508948,508948,508948,508948,508948
85000,85000,5,1286259,1286449,1286402,1286538,1286245
85000,85000,10,1297309,1297630,1297319,1297566,1297506
85000,85000,20,1350277,1350168,1350149,1350061,1349754
85000,85000,40,1501671,1501017,1502627,1501565,1502979
85000,85000,100,2667370,2665487,2673256,2668822,2675216
95000,1,5,768708,768708,768708,768708,768708
95000,1,10,739244,739244,739244,739244,739244
95000,1,20,701588,701588,701588,701588,701588
95000,1,40,659836,659836,659836,659836,659836
95000,1,100,568700,568700,568700,568700,568700
95000,95000,5,1452654,1452977,1452807,1452814,1452793
95000,95000,10,1470467,1470320,1470271,1470281,1470271
95000,95000,20,1540966,1541917,1541489,1540823,1541228
95000,95000,40,1739379,1740120,1737687,1737902,1738431
95000,95000,100,3227601,3217438,3216635,3218813,3220786
105000,1,5,850948,850948,850948,850948,850948
105000,1,10,818180,818180,818180,818180,818180
105000,1,20,777220,777220,777220,777220,777220
105000,1,40,729564,729564,729564,729564,729564
105000,1,100,679860,679860,679860,679860,679860
105000,105000,5,1622183,1622275,1622156,1622378,1622535
105000,105000,10,1646650,1646660,1646566,1647335,1647059
105000,105000,20,1738177,1738738,1738359,1738283,1737952
105000,105000,40,1986793,1988830,1987794,1987109,1985908
105000,105000,100,2567616,2561146,2564223,2566271,2565860
115000,1,5,935748,935748,935748,935748,935748
115000,1,10,902668,902668,902668,902668,902668
115000,1,20,853516,853516,853516,853516,853516
115000,1,40,800268,800268,800268,800268,800268
115000,1,100,744972,744972,744972,744972,744972
115000,115000,5,1793600,1793902,1793460,1793789,1793495
115000,115000,10,1825829,1825530,1825484,1825083,1824946
115000,115000,20,1941476,1941994,1942662,1941931,1941591
115000,115000,40,2247607,2246821,2249926,2248060,2248839
115000,115000,100,2954754,2953481,2950695,2949493,2953479
125000,1,5,1021428,1021428,1021428,1021428,1021428
125000,1,10,978348,978348,978348,978348,978348
125000,1,20,927076,927076,927076,927076,927076
125000,1,40,869732,869732,869732,869732,869732
125000,1,100,810268,810268,810268,810268,810268
125000,125000,5,1965603,1965809,1966072,1965994,1966407
125000,125000,10,2008590,2009172,2009260,2009447,2009062
125000,125000,20,2151919,2152605,2152351,2151136,2150789
125000,125000,40,2524546,2520206,2520829,2522725,2521544
125000,125000,100,3364984,3361522,3361870,3369463,3365207
135000,1,5,1108420,1108420,1108420,1108420,1108420
135000,1,10,1059268,1059268,1059268,1059268,1059268
135000,1,20,1001924,1001924,1001924,1001924,1001924
135000,1,40,940484,940484,940484,940484,940484
135000,1,100,875116,875116,875116,875116,875116
135000,135000,5,2140568,2140060,2140044,2139933,2140071
135000,135000,10,2194855,2194366,2194474,2194573,2194499
135000,135000,20,2369367,2367578,2368420,2368467,2369541
135000,135000,40,2809116,2804964,2809646,2803664,2811878
135000,135000,100,3792050,3795197,3795808,3789890,3803766
145000,1,5,1188948,1188948,1188948,1188948,1188948
145000,1,10,1139796,1139796,1139796,1139796,1139796
145000,1,20,1076716,1076716,1076716,1076716,1076716
145000,1,40,1009540,1009540,1009540,1009540,1009540
145000,1,100,939908,939908,939908,939908,939908
145000,145000,5,2317177,2317568,2317422,2317632,2317339
145000,145000,10,2383292,2383052,2384415,2384166,2383612
145000,145000,20,2591333,2590651,2590843,2590063,2591168
145000,145000,40,3109547,3107404,3104813,3105461,3107128
145000,145000,100,4265199,4250671,4255449,4250970,4253685
150000,1,5,1231456,1231456,1231456,1231456,1231456
150000,1,10,1179760,1179760,1179760,1179760,1179760
150000,1,20,1114224,1114224,1114224,1114224,1114224
150000,1,40,1044592,1044592,1044592,1044592,1044592
150000,1,100,972416,972416,972416,972416,972416
150000,150000,5,2405896,2406354,2406578,2406326,2405779
150000,150000,10,2478989,2479607,2479703,2479029,2478205
150000,150000,20,2703671,2706088,2705720,2704691,2704342
150000,150000,40,3258477,3265067,3261822,3262588,3259986
150000,150000,100,4491545,4505238,4503392,4497188,4482274
300000,1,5,2612912,2612912,2612912,2612912,2612912
300000,1,10,2509520,2509520,2509520,2509520,2509520
300000,1,20,2378448,2378448,2378448,2378448,2378448
300000,1,40,2239184,2239184,2239184,2239184,2239184
300000,1,100,2094832,2094832,2094832,2094832,2094832
300000,300000,5,5111625,5112058,5112284,5112508,5112661
300000,300000,10,5257933,5257398,5258508,5258248,5259301
300000,300000,20,5709130,5709798,5711051,5709957,5710997
300000,300000,40,6826916,6820780,6825426,6821046,6821518
300000,300000,100,9303423,9288422,9304871,9284104,9285928
600000,1,5,5525824,5525824,5525824,5525824,5525824
600000,1,10,5319040,5319040,5319040,5319040,5319040
600000,1,20,5056896,5056896,5056896,5056896,5056896
600000,1,40,4778368,4778368,4778368,4778368,4778368
600000,1,100,4489664,4489664,4489664,4489664,4489664
600000,600000,5,10823580,10825440,10823852,10825301,10824060
600000,600000,10,11115133,11118021,11114009,11117705,11116653
600000,600000,20,12016022,12020641,12017877,12022345,12019666
600000,600000,40,14244463,14243555,14238224,14248194,14240161
600000,600000,100,19174546,19172760,19195840,19186186,19183487
1200000,1,5,11651648,11651648,11651648,11651648,11651648
1200000,1,10,11238080,11238080,11238080,11238080,11238080
1200000,1,20,10713792,10713792,10713792,10713792,10713792
1200000,1,40,10156736,10156736,10156736,10156736,10156736
1200000,1,100,9579328,9579328,9579328,9579328,9579328
1200000,1200000,5,22849976,22847031,22850338,22850972,22850073
1200000,1200000,10,23431946,23427603,23433525,23434085,23435962
1200000,1200000,20,25243632,25234450,25238031,25242885,25244783
1200000,1200000,40,29683957,29680183,29687261,29689550,29686203
1200000,1200000,100,39549328,39582294,39583294,39590391,39572287
2400000,1,5,24503296,24503296,24503296,24503296,24503296
2400000,1,10,23676160,23676160,23676160,23676160,23676160
2400000,1,20,22627584,22627584,22627584,22627584,22627584
2400000,1,40,21513472,21513472,21513472,21513472,21513472
2400000,1,100,20358656,20358656,20358656,20358656,20358656
2400000,2400000,5,48099866,48098654,48101122,48097834,48100016
2400000,2400000,10,49268276,49265483,49270671,49263838,49267243
2400000,2400000,20,52887081,52875814,52885615,52879185,52882946
2400000,2400000,40,61788679,61777165,61781890,61768875,61767517
2400000,2400000,100,81553414,81544753,81557370,81500708,81532668
4800000,1,5,51406592,51406592,51406592,51406592,51406592
4800000,1,10,49752320,49752320,49752320,49752320,49752320
4800000,1,20,47655168,47655168,47655168,47655168,47655168
4800000,1,40,45426944,45426944,45426944,45426944,45426944
4800000,1,100,43117312,43117312,43117312,43117312,43117312
4800000,4800000,5,100996913,100997693,100996983,101000355,100997012
4800000,4800000,10,103327043,103333772,103334171,103337247,103325846
4800000,4800000,20,110553247,110550821,110564269,110558860,110538927
4800000,4800000,40,128340729,128335947,128370535,128346336,128329878
4800000,4800000,100,167851236,167834424,167808230,167854707,167795334
9600000,1,5,107613184,107613184,107613184,107613184,107613184
9600000,1,10,104304640,104304640,104304640,104304640,104304640
9600000,1,20,100110336,100110336,100110336,100110336,100110336
9600000,1,40,95653888,95653888,95653888,95653888,95653888
9600000,1,100,91034624,91034624,91034624,91034624,91034624
9600000,9600000,5,211599074,211591946,211597822,211598801,211591126
9600000,9600000,10,216264624,216259967,216265400,216270718,216259176
9600000,9600000,20,230726825,230701888,230725930,230730956,230710882
9600000,9600000,40,266282180,266285643,266306736,266298663,266297161
9600000,9600000,100,345294773,345264027,345291465,345269086,345289960
19200000,1,5,224826368,224826368,224826368,224826368,224826368
19200000,1,10,218209280,218209280,218209280,218209280,218209280
19200000,1,20,209820672,209820672,209820672,209820672,209820672
19200000,1,40,200907776,200907776,200907776,200907776,200907776
19200000,1,100,191669248,191669248,191669248,191669248,191669248
19200000,19200000,5,442384463,442390928,442392771,442393655,442392738
19200000,19200000,10,451733524,451724304,451728706,451735114,451725091
19200000,19200000,20,480646086,480632586,480635985,480660450,480624771
19200000,19200000,40,551778449,551801433,551741440,551793071,551809079
19200000,19200000,100,709816409,709818966,709757533,709769225,709809515
