input_size,block_size,k,engineered_s-1,engineered_s-22,engineered_s-57,engineered_s-101,engineered_s-611
5000,1,5,0.000328,0.000316,0.000327,0.000326,0.000315
5000,1,10,0.000308,0.000331,0.000302,0.00029,0.000289
5000,1,20,0.00028,0.000295,0.000273,0.000271,0.000268
5000,1,40,0.000228,0.00036,0.000251,0.000266,0.000237
5000,1,100,0,0.000246,0.000205,0.000198,0
5000,5000,5,0.000706,0.000741,0.000709,0.000808,0.000853
5000,5000,10,0.00085,0.000833,0.000793,0.000773,0.00071
5000,5000,20,0.000731,0.000683,0.000749,0.000685,0.000683
5000,5000,40,0.000696,0.000697,0.000763,0.000733,0.000695
5000,5000,100,0.00081,0.000816,0.000815,0.000807,0.000836
15000,1,5,0.001123,0.00112,0.001125,0.001099,0.00108
15000,1,10,0.00103,0.00109,0.001062,0.001045,0.001125
15000,1,20,0.00095,0.0009,0.000931,0.000914,0.001215
15000,1,40,0.000479,0,0.000812,0.000815,0.000827
15000,1,100,0.000884,0.000722,0.000718,0.001065,0.000749
15000,15000,5,0.002528,0.002427,0.002503,0.002491,0.002682
15000,15000,10,0.002485,0.0024,0.002369,0.002371,0.002354
15000,15000,20,0.002311,0.00232,0.002307,0.002317,0.002311
15000,15000,40,0.001168,0.002326,0.002358,0.002343,0.002517
15000,15000,100,0.002557,0.002504,0.002593,0.002568,0.002527
25000,1,5,0.00193,0.002012,0.001926,0.001958,0.001897
25000,1,10,0.001812,0.001777,0.001872,0.00178,0
25000,1,20,0.001654,0.001691,0.001679,0.001701,0.001677
25000,1,40,0.001586,0.001537,0.001595,0.001474,0.001479
25000,1,100,0.001214,0.00132,0.001213,0.001233,0.001212
25000,25000,5,0.004454,0.00436,0.004554,0.004488,0.004429
25000,25000,10,0.003934,0.004248,0.004372,0.004229,0.004427
25000,25000,20,0.004302,0.004221,0.004169,0.004187,0.00421
25000,25000,40,0.004168,0.004121,0.004135,0.004285,0.004157
25000,25000,100,0.004632,0.005255,0.005265,0.005131,0.005129
35000,1,5,0.002709,0.002733,0.002687,0.002748,0.002712
35000,1,10,0.002554,0.002527,0.002518,0.002859,0.002597
35000,1,20,0.002321,0.00226,0.002379,0.002453,0.002276
35000,1,40,0.002113,0.002136,0.002184,0.002175,0.002122
35000,1,100,0.001906,0.001907,0.001886,0.001853,0.000969
35000,35000,5,0.006385,0.006605,0.006428,0.006279,0.006449
35000,35000,10,0.006133,0.006123,0.006186,0.005755,0.006561
35000,35000,20,0.006441,0.005877,0.006174,0.006197,0.006169
35000,35000,40,0.006643,0.006454,0.006567,0.006707,0.006652
35000,35000,100,0.006926,0.006872,0.006893,0.007704,0.006798
45000,1,5,0.004019,0.003868,0.00381,0,0.003974
45000,1,10,0.003539,0.003509,0.003614,0.004073,0.003532
45000,1,20,0.00328,0.003332,0.003337,0.003241,0.003302
45000,1,40,0.003101,0.003045,0.003306,0.003366,0.003135
45000,1,100,0.003283,0.002626,0.002392,0.002431,0.002477
45000,45000,5,0.013064,0.008838,0.008589,0.008899,0.00929
45000,45000,10,0.008432,0.008511,0.008896,0.00989,0
45000,45000,20,0.004115,0.008828,0.008297,0.008086,0.008415
45000,45000,40,0.008027,0.007551,0.008075,0.008028,0.008213
45000,45000,100,0.010288,0.009461,0.008476,0.009409,0.010601
55000,1,5,0.004744,0.004994,0.004622,0.004594,0.004455
55000,1,10,0.004293,0.004315,0.00439,0.004344,0.004414
55000,1,20,0.004024,0.004011,0.004005,0.004151,0.003891
55000,1,40,0.003863,0.003643,0.003892,0.004029,0.003879
55000,1,100,0.003342,0.003297,0,0.003271,0.003428
55000,55000,5,0.010617,0.011099,0.011092,0.012636,0.01146
55000,55000,10,0.011087,0.010684,0.011141,0.010968,0.010694
55000,55000,20,0.012187,0.010179,0.01024,0.010629,0.010191
55000,55000,40,0.010565,0.008919,0.01028,0.010155,0.011828
55000,55000,100,0.011073,0.012551,0.011166,0.010956,0.013473
65000,1,5,0.006135,0.005525,0.005445,0.005504,0.005792
65000,1,10,0.005199,0.005427,0.005192,0.005291,0.00517
65000,1,20,0.004772,0.004639,0.004847,0.004692,0.004797
65000,1,40,0.0045,0.004424,0.004207,0.004281,0.004412
65000,1,100,0.003879,0.00409,0.003806,0.003849,0.003984
65000,65000,5,0.012996,0.012975,0.012672,0.012736,0.012953
65000,65000,10,0.011976,0.012647,0.012355,0.012772,0.011129
65000,65000,20,0.012315,0.014295,0.017169,0.013549,0.012219
65000,65000,40,0.012888,0.012323,0.012397,0.015663,0.012528
65000,65000,100,0.013413,0.013257,0.011765,0.013388,0.015078
75000,1,5,0.00639,0.006179,0.006219,0.006264,0.006427
75000,1,10,0.006125,0.005819,0.005844,0.006065,0.005809
75000,1,20,0.005498,0.005522,0.005281,0.005472,0.005456
75000,1,40,0.004931,0.005009,0.004819,0.005538,0.005069
75000,1,100,0.004988,0.00444,0.004511,0.004379,0.004719
75000,75000,5,0.015277,0.016291,0.013242,0.015543,0.015915
75000,75000,10,0.012613,0.015315,0.015899,0.015024,0.015088
75000,75000,20,0.014965,0.014395,0.014538,0.014973,0.014398
75000,75000,40,0.014729,0.014745,0.015698,0.015095,0.015474
75000,75000,100,0.016117,0.016297,0.016089,0.014025,0.017961
85000,1,5,0.007429,0.007515,0.007699,0.007597,0.007523
85000,1,10,0.007202,0.007433,0.007094,0.007029,0.006898
85000,1,20,0.007123,0.006726,0.00715,0.006624,0.006555
85000,1,40,0.002024,0.005991,0.006387,0.006039,0.006302
85000,1,100,0.005126,0.00548,0.005213,0.005216,0.005145
85000,85000,5,0.018297,0.018561,0.017352,0.022974,0.021483
85000,85000,10,0.025957,0.020978,0.01928,0.017202,0.016955
85000,85000,20,0.016972,0.017295,0.016874,0.016813,0.017153
85000,85000,40,0.017932,0.016401,0.016664,0.016836,0.017314
85000,85000,100,0.019806,0.019909,0.019624,0.019096,0.01983
95000,1,5,0.009175,0.008689,0.008501,0.00896,0.011121
95000,1,10,0.007668,0.007698,0.008403,0.007878,0.007847
95000,1,20,0.007698,0.008045,0.007821,0.007469,0.007965
95000,1,40,0.007073,0.00725,0.008038,0.00779,0.006677
95000,1,100,0.005611,0.005926,0.005785,0.005702,0.005954
95000,95000,5,0.023034,0.02023,0.022236,0.01971,0.019453
95000,95000,10,0.024815,0.019641,0.018827,0.019162,0.019771
95000,95000,20,0.018597,0.018616,0.019992,0.020019,0.021529
95000,95000,40,0.019195,0.018865,0.020693,0.023286,0.018819
95000,95000,100,0.022212,0.022511,0.024,0.024906,0.022373
105000,1,5,0.009481,0.009474,0.009605,0.010076,0.009422
105000,1,10,0.008878,0.010299,0.008761,0.009325,0.008939
105000,1,20,0.008405,0.008093,0.008365,0.008188,0.008218
105000,1,40,0.007385,0.007851,0.007308,0.007803,0.007978
105000,1,100,0.003388,0.006894,0.0069,0.006849,0.006717
105000,105000,5,0.024157,0.022447,0.022111,0.023584,0.024249
105000,105000,10,0.023855,0.022593,0.021121,0.023286,0.021969
105000,105000,20,0.024166,0.021318,0.022795,0.021956,0.022251
105000,105000,40,0.020982,0.021067,0.021317,0.021081,0.020861
105000,105000,100,0.024218,0.023414,0.02267,0.023735,0.022558
115000,1,5,0.010216,0.010233,0.009935,0.010599,0.010105
115000,1,10,0.009474,0.009654,0.009462,0.010531,0.009738
115000,1,20,0.008872,0.008892,0.010916,0.008926,0.008814
115000,1,40,0.009269,0.008066,0.008106,0.008154,0.008821
115000,1,100,0.009147,0.00731,0.007514,0.008067,0.004867
115000,115000,5,0.026675,0.031174,0.024391,0.025171,0.025616
115000,115000,10,0.023672,0.0276,0.024753,0.023687,0.0239
115000,115000,20,0.030592,0.024628,0.024592,0.024849,0.024186
115000,115000,40,0.023717,0.024927,0.02695,0.023511,0.025218
115000,115000,100,0.026759,0.027626,0.027508,0.0255,0.02537
125000,1,5,0.011685,0.012944,0.011352,0.011078,0.010746
125000,1,10,0.011428,0.011494,0.011531,0.009892,0.011036
125000,1,20,0.009507,0.009653,0.009248,0.010002,0.009557
125000,1,40,0.011248,0.008598,0.013209,0.009038,0.009906
125000,1,100,0.008485,0.003993,0.008218,0.008127,0.008224
125000,125000,5,0.027088,0.027028,0.029953,0.029027,0.026808
125000,125000,10,0.027762,0.035063,0.027138,0.031819,0.028287
125000,125000,20,0.027801,0.028613,0.027505,0.02653,0.030319
125000,125000,40,0.025978,0.026844,0.027468,0.030889,0.027322
125000,125000,100,0.034062,0.030164,0.027537,0.029154,0.027669
135000,1,5,0.011356,0.012226,0.011887,0.012714,0.011611
135000,1,10,0.012116,0.01059,0.011139,0.011328,0.011407
135000,1,20,0.010469,0.010545,0.010328,0.010897,0.01037
135000,1,40,0.010457,0.01075,0.011861,0.009423,0.010549
135000,1,100,0.009347,0.00873,0.008784,0.009778,0.009487
135000,135000,5,0.02999,0.029891,0.031459,0.031815,0.033069
135000,135000,10,0.029466,0.030863,0.034249,0.028425,0.029949
135000,135000,20,0.02958,0.035396,0.030152,0.027965,0.029238
135000,135000,40,0.030565,0.029451,0.029828,0.034182,0.031624
135000,135000,100,0.029622,0.030821,0.031292,0.040255,0.042937
145000,1,5,0.012708,0.01261,0.013407,0.013328,0.012114
145000,1,10,0.013121,0.012416,0.012501,0.012119,0.012396
145000,1,20,0.011251,0.011206,0.011089,0.011737,0.011352
145000,1,40,0.010527,0.010772,0.011486,0.010034,0.010287
145000,1,100,0.009797,0.01002,0.01029,0.010251,0.009409
145000,145000,5,0.038581,0.035199,0.03857,0.040541,0.038316
145000,145000,10,0.033377,0.033752,0.033573,0.032058,0.030988
145000,145000,20,0.031916,0.033798,0.037663,0.032989,0.033576
145000,145000,40,0.033391,0.032528,0.032022,0.030853,0.03242
145000,145000,100,0.020886,0.035136,0.03583,0.039427,0.036337
150000,1,5,0.015221,0.012279,0.013269,0.013616,0.013688
150000,1,10,0.012415,0.012892,0.015208,0.012671,0.0129
150000,1,20,0.011873,0.011564,0.011782,0.011419,0.01185
