input_size,block_size,insertion_s-1,insertion_s-22,insertion_s-57,insertion_s-101,insertion_s-611
5000,1,4999,4999,4999,4999,4999
5000,500,629288,632065,629490,629679,628349
5000,1000,1244437,1253895,1241485,1241047,1246379
5000,2500,3106126,3118128,3094015,3214241,3063410
5000,5000,6265606,6271757,6245776,6281136,6129495
15000,1,14999,14999,14999,14999,14999
15000,1500,5648832,5609822,5623113,5670833,5598055
15000,3000,11223355,11215483,11275531,11278865,11184984
15000,7500,27984216,28030642,28476410,28077483,27694635
15000,15000,56099953,56279035,56502093,55448737,55587447
25000,1,24999,24999,24999,24999,24999
25000,2500,15720714,15695155,15596566,15720814,15451178
25000,5000,31184315,31356285,31116162,31386680,30957740
25000,12500,78343792,77824674,78582588,78374279,78087675
25000,25000,155933208,155719318,156360750,156259559,155366765
35000,1,34999,34999,34999,34999,34999
35000,3500,30795874,30548246,30553150,30773735,30806839
35000,7000,61331582,61158422,61314550,61209635,60915358
35000,17500,153417290,153016828,152641478,153231498,153526108
35000,35000,304804126,303867129,306074938,305396858,304584891
45000,1,44999,44999,44999,44999,44999
45000,4500,50829587,50720207,50685975,50485000,50763420
45000,9000,100921435,101073428,101038586,100772350,101466383
45000,22500,252470762,252165010,252253168,251009234,252296560
45000,45000,506376082,506094795,506615283,507003956,503967500
55000,1,54999,54999,54999,54999,54999
55000,5500,75555537,75636139,75506796,75602724,75792133
55000,11000,150952758,150704609,151684644,150837127,151277228
55000,27500,377990611,377051059,377502370,376345752,376937436
55000,55000,756531286,752744381,758179808,754358812,754008462
65000,1,64999,64999,64999,64999,64999
65000,6500,105718003,105672025,105704707,105320565,105460254
65000,13000,211645662,210681097,211040775,210058653,210798717
65000,32500,529694147,526715151,527809163,526791282,528532542
65000,65000,1056502825,1052728344,1055900778,1054277000,1058545157
75000,1,74999,74999,74999,74999,74999
75000,7500,140411050,140662802,141179226,140418445,140259786
75000,15000,280974972,281291605,281826096,279656277,280923917
75000,37500,700991077,702194431,702696675,701566405,700040212
75000,75000,1403755601,1407738632,1408189744,1408959062,1403156261
85000,1,84999,84999,84999,84999,84999
85000,8500,180594241,180481338,180835557,180952156,180460918
85000,17000,361403937,361760848,361293464,360811886,361081432
85000,42500,902410738,902084445,904333897,901761223,901385891
85000,85000,1803997715,1801967725,1806041678,1805849457,1801887903
95000,1,94999,94999,94999,94999,94999
95000,9500,225174870,224759108,225499780,224608408,225177736
95000,19000,449810444,451626367,451224257,450131747,450892647
95000,47500,1130234249,1126660688,1130617175,1125738029,1128909524
95000,95000,2251722688,2254529702,2256084201,2253354121,2256645329
105000,1,104999,104999,104999,104999,104999
105000,10500,275776146,275393830,275710110,275298388,276523846
105000,21000,552178699,550063247,548576691,548892448,551587474
105000,52500,1378290016,1375666267,1378014605,1371556020,1379285577
105000,105000,2755223729,2753958467,2753431508,2747462202,2758538963
115000,1,114999,114999,114999,114999,114999
115000,11500,329420001,329641370,330573027,329180846,330676098
115000,23000,659134455,659262813,659486859,659741963,660611816
115000,57500,1652332154,1653573398,1652058281,1648210427,1653774161
115000,115000,3302029748,3303702157,3306625480,3296830012,3305090185
125000,1,124999,124999,124999,124999,124999
125000,12500,391099440,389549831,390220268,390291029,389751839
125000,25000,779820843,780819133,780049166,780491897,781173054
125000,62500,1952613979,1950781077,1950763919,1951239843,1953838657
125000,125000,3903563744,3900767575,3905820044,3896688158,3908302829
135000,1,134999,134999,134999,134999,134999
135000,13500,456678581,454859205,456591902,454718105,454486264
135000,27000,913112936,908442880,911226526,910776359,912922301
135000,67500,2273450489,2280697698,2278467048,2279793853,2280606834
135000,135000,4557282072,4554611387,4553860335,4549538460,4555350959
145000,1,144999,144999,144999,144999,144999
145000,14500,526631547,526061391,525412132,524846623,525093409
145000,29000,1050274196,1051727364,1049917056,1050410745,1051917469
145000,72500,2625167153,2622906993,2629917466,2631477401,2634209827
145000,145000,5267426965,5259817614,5239933128,5249685767,5263444845
