input_size,block_size,merge_s-1,merge_s-22,merge_s-57,merge_s-101,merge_s-611
5000,1,0.000384,0.000363,0.000378,0.000367,0.000361
5000,500,0.000647,0,0.000654,0.00063,0.000624
5000,1000,0.000652,0.000694,0.000663,0.000653,0.00067
5000,2500,0.000718,0.000717,0.000706,0.000699,0.000708
5000,5000,0,0,0.000734,0.000761,0.000746
15000,1,0.001225,0.001234,0.001224,0.001242,0.001224
15000,1500,0.002204,0.002325,0,0.002364,0.002292
15000,3000,0.002315,0.002284,0.002462,0.00231,0
15000,7500,0.002473,0.002458,0.002502,0.002431,0.002562
15000,15000,0.002613,0.002588,0.00265,0.00261,0.00259
25000,1,0.002193,0.002261,0.002149,0.002141,0.002237
25000,2500,0.003882,0.003907,0.003922,0.00402,0.003965
25000,5000,0.004084,0.004376,0.004128,0.004076,0
25000,12500,0.004287,0.004652,0.004561,0.004424,0.004657
25000,25000,0.004609,0.00473,0.004546,0.005141,0.004497
35000,1,0.001653,0.003071,0.003291,0.00336,0
35000,3500,0.005624,0.00589,0.005743,0,0.005722
35000,7000,0.006031,0.005993,0.005994,0.005968,0.005858
35000,17500,0.006583,0.006327,0.006358,0.006393,0.006337
35000,35000,0.006928,0.006708,0.006734,0.006776,0.006879
45000,1,0.004139,0.004035,0.002012,0.004207,0.002068
45000,4500,0.007674,0.007718,0.007602,0.003886,0.008128
45000,9000,0.008326,0.007757,0.007847,0.007905,0.008115
45000,22500,0.008573,0.008502,0.008511,0.004331,0.009191
45000,45000,0.009396,0.009307,0.008874,0.008928,0.009287
55000,1,0.003378,0.004997,0.005152,0.005136,0.005025
55000,5500,0.008479,0.009417,0.009351,0.009929,0.009554
55000,11000,0.009873,0.009922,0.010508,0.010296,0.009881
55000,27500,0.010695,0.010938,0.010769,0.010079,0.010668
55000,55000,0.011153,0.011517,0.011168,0.012333,0.01156
65000,1,0.006003,0.006218,0.005992,0.006022,0.006457
65000,6500,0.010531,0.011208,0.011371,0.01129,0.011303
65000,13000,0.012195,0.011005,0.012634,0.012785,0.011974
65000,32500,0.013061,0.012697,0.013289,0.012718,0.012729
65000,65000,0.013167,0.014504,0.013395,0.013674,0.013928
75000,1,0.006975,0.007161,0.007168,0.007109,0.007027
75000,7500,0.011666,0.013337,0.013892,0.013382,0.013236
75000,15000,0.01431,0.014319,0.013036,0.014707,0.014087
75000,37500,0.014858,0.015087,0.015466,0.013715,0.014846
75000,75000,0.01601,0.016379,0.015774,0.014238,0.017467
85000,1,0.008413,0.008178,0.009241,0.00843,0.008167
85000,8500,0.015352,0.0157,0.017491,0.015433,0.015488
85000,17000,0.014973,0.014305,0.016248,0.016,0.016169
85000,42500,0.018205,0.017602,0.017608,0.019524,0.01715
85000,85000,0.019549,0.019019,0.0182,0.02259,0.02047
95000,1,0.009288,0.009565,0.009299,0.009349,0.009308
95000,9500,0.017498,0.017481,0.016175,0.016657,0.01825
95000,19000,0.019121,0.019161,0.019234,0.018461,0.019102
95000,47500,0.016947,0.020177,0.020647,0.019785,0.019647
95000,95000,0.021167,0.020841,0.021097,0.021092,0.022003
105000,1,0.0106,0.011175,0.01097,0.010411,0.010481
105000,10500,0.020152,0.020146,0.019576,0.019892,0.020331
105000,21000,0.02168,0.020914,0.02071,0.0198,0.020756
105000,52500,0.022892,0.021273,0.021504,0.023285,0.022359
105000,105000,0.024682,0.023658,0.021399,0.022899,0.024786
115000,1,0.010502,0.011146,0.010928,0.011461,0.01113
115000,11500,0.022449,0.022078,0.022949,0.021282,0.02239
115000,23000,0.021417,0.023016,0.024684,0.022857,0.023565
115000,57500,0.025059,0.024471,0.02427,0.024078,0.024938
115000,115000,0.026275,0.025994,0.026728,0.025919,0.027149
125000,1,0.012367,0.012612,0.012807,0.01264,0.01242
125000,12500,0.026995,0.023758,0.023564,0.024253,0.024456
125000,25000,0.025403,0.025887,0.026203,0.026095,0.023681
125000,62500,0.02853,0.028034,0.027517,0.027058,0.026628
125000,125000,0.030286,0.029353,0.029107,0.028958,0.031884
135000,1,0.01363,0.013364,0.013263,0.013611,0.01327
135000,13500,0.025299,0.028089,0.025365,0.026223,0.026766
135000,27000,0.027631,0.029872,0.028798,0.028324,0.028422
135000,67500,0.032073,0.032636,0.029593,0.030795,0.029989
135000,135000,0.036723,0.032328,0.032141,0.03447,0.032765
145000,1,0.01338,0.013764,0.014505,0.015462,0.016575
145000,14500,0.028824,0.02833,0.02891,0.027568,0.028835
145000,29000,0.031191,0.031892,0.0299,0.03074,0.030911
145000,72500,0.033789,0.032414,0.031872,0.032307,0.032552
145000,145000,0.033718,0.037789,0.039035,0.03584,0.045394
150000,1,0.015011,0.015097,0.015238,0.014989,0.014274
150000,15000,0.029918,0.030504,0.030356,0.029346,0.029281
150000,30000,0.032256,0.030927,0.034038,0.031583,0.031437
150000,75000,0.033223,0.038273,0.033858,0.035921,0.033186
150000,150000,0.036831,0.035046,0.035356,0.036052,0.035643
300000,1,0.031559,0.032117,0.032783,0.031409,0.032018
300000,30000,0.06877,0.069006,0.067461,0.066758,0.072188
300000,60000,0.071521,0.071361,0.073247,0.071998,0.075839
300000,150000,0.090616,0.079182,0.076039,0.075368,0.081004
300000,300000,0.09043,0.091176,0.089723,0.090233,0.08843
600000,1,0.067767,0.069279,0.068205,0.069501,0.073526
600000,60000,0.161963,0.154281,0.156909,0.154549,0.150585
600000,120000,0.172027,0.168713,0.170306,0.198468,0.18507
600000,300000,0.199613,0.201591,0.222946,0.211445,0.199824
600000,600000,0.219115,0.245765,0.222686,0.22369,0.220947
1200000,1,0.146859,0.145904,0.145259,0.143987,0.144899
1200000,120000,0.352114,0.361244,0.368037,0.371198,0.372039
1200000,240000,0.424309,0.408594,0.400501,0.415966,0.414588
1200000,600000,0.504843,0.504247,0.493907,0.516576,0.510572
1200000,1200000,0.65878,0.54206,0.528375,0.570776,0.523109
2400000,1,0.304649,0.3122,0.317165,0.312837,0.305934
2400000,240000,0.925043,0.930141,0.93811,0.948324,0.933245
2400000,480000,1.07695,1.04766,1.07057,1.07351,1.06007
2400000,1200000,1.18968,1.18095,1.18641,1.17829,1.36233
2400000,2400000,1.31294,1.29152,1.39906,1.271,1.23583
4800000,1,0.650162,0.66276,0.669203,0.652583,0.673886
4800000,480000,2.43956,2.42009,2.41184,2.42288,2.4679
4800000,960000,2.66623,2.7202,2.6164,2.58878,2.60382
4800000,2400000,2.74526,2.78657,2.92182,2.76149,2.83685
4800000,4800000,2.89199,2.88708,2.91486,2.91155,2.91098
9600000,1,1.36766,1.38154,1.39303,1.3481,1.36058
9600000,960000,5.67354,5.73682,5.92012,5.93006,5.78671
9600000,1920000,6.3823,6.11141,6.12813,6.09855,6.11523
9600000,4800000,6.43044,6.4118,6.40599,6.38631,6.38271
9600000,9600000,6.64064,6.6028,6.69872,6.64812,6.61684
19200000,1,2.85672,2.84865,2.84339,2.86534,2.87361
19200000,1920000,13.293,13.5279,13.3326,13.3634,13.3111
19200000,3840000,14.2266,14.0746,14.1039,14.2336,14.0607
19200000,9600000,14.6899,14.5987,14.5391,14.5683,14.5775
19200000,19200000,15.3727,15.089,15.1002,15.2499,15.3575
