input_size,block_size,quick_s-1,quick_s-22,quick_s-57,quick_s-101,quick_s-611
5000,1,83695,83695,83695,83695,83695
5000,500,92096,94127,94373,91416,92576
5000,1000,91919,95206,97217,94933,95765
5000,2500,93914,97896,93603,99032,95052
5000,5000,103039,98094,105974,98140,97268
15000,1,284150,284150,284150,284150,284150
15000,1500,325231,323213,330129,329024,329741
15000,3000,328931,327027,321518,329928,328694
15000,7500,337118,345482,338972,338065,335436
15000,15000,326716,325032,336510,330148,325609
25000,1,512511,512511,512511,512511,512511
25000,2500,570949,576407,567717,570635,576115
25000,5000,576976,574268,600332,571885,583476
25000,12500,627430,589718,593198,588993,602565
25000,25000,589395,611592,591713,582064,577290
35000,1,726186,726186,726186,726186,726186
35000,3500,838402,842529,832685,824750,841316
35000,7000,840667,844672,835343,840449,850326
35000,17500,855877,967906,911216,868314,884721
35000,35000,889037,844410,834960,872358,863501
45000,1,965395,965395,965395,965395,965395
45000,4500,1113711,1107761,1087960,1094898,1091021
45000,9000,1097908,1119258,1132129,1131301,1098441
45000,22500,1125980,1142706,1189320,1126676,1100885
45000,45000,1151635,1130136,1145370,1129459,1156969
55000,1,1202021,1202021,1202021,1202021,1202021
55000,5500,1391585,1409261,1389688,1374316,1381144
55000,11000,1365224,1381380,1410280,1410387,1404661
55000,27500,1376789,1397344,1391701,1407279,1410587
55000,55000,1452611,1401360,1399154,1443298,1388989
65000,1,1429731,1429731,1429731,1429731,1429731
65000,6500,1650730,1649177,1644297,1650992,1675318
65000,13000,1697483,1672286,1725712,1645619,1701169
65000,32500,1751513,1794391,1732564,1679300,1686277
65000,65000,1668665,1655904,1762222,1692919,1712776
75000,1,1690958,1690958,1690958,1690958,1690958
75000,7500,1938674,1919375,1927104,1914964,1918683
75000,15000,1984386,1961759,2058844,1979589,1964345
75000,37500,1933192,1979143,2015008,1983475,2009310
75000,75000,2015674,1932517,2007469,2052444,1955239
85000,1,1950967,1950967,1950967,1950967,1950967
85000,8500,2249298,2211180,2198501,2214092,2221498
85000,17000,2230742,2241262,2300157,2301770,2232305
85000,42500,2228129,2324791,2310563,2297677,2298780
85000,85000,2313197,2251253,2275438,2331960,2266445
95000,1,2220976,2220976,2220976,2220976,2220976
95000,9500,2499302,2493573,2466305,2504787,2509657
95000,19000,2526100,2567581,2540419,2531970,2581371
95000,47500,2670212,2649858,2514702,2542615,2516349
95000,95000,2617648,2683741,2573945,2525498,2536589
105000,1,2467473,2467473,2467473,2467473,2467473
105000,10500,2825193,2822922,2811623,2790245,2864680
105000,21000,2858381,2807199,2927420,2801113,2839150
105000,52500,2920336,2848347,2862972,2799398,2838890
105000,105000,2952095,2956825,2904354,2936485,2938335
115000,1,2694549,2694549,2694549,2694549,2694549
115000,11500,3119641,3082941,3103440,3097019,3117295
115000,23000,3075604,3107128,3128008,3133137,3172093
115000,57500,3166370,3244795,3114477,3102915,3206371
115000,115000,3356647,3421274,3341025,3220279,3139555
125000,1,2937427,2937427,2937427,2937427,2937427
125000,12500,3374695,3375487,3395983,3383303,3378648
125000,25000,3375591,3411772,3360144,3476871,3412643
125000,62500,3482921,3594845,3484458,3374196,3407230
125000,125000,3515163,3415751,3603473,3378025,3446644
135000,1,3186313,3186313,3186313,3186313,3186313
135000,13500,3747091,3667858,3632758,3745221,3700233
135000,27000,3740778,3786345,3629855,3694125,3666427
135000,67500,3696897,3819606,3773210,3801885,3729142
135000,135000,3841234,3886785,3809573,3770512,3995016
145000,1,3457095,3457095,3457095,3457095,3457095
145000,14500,4013388,4007344,3958498,3944437,4015719
145000,29000,4113257,4084603,4031682,4017364,4047600
145000,72500,4194703,4331066,4012040,4145468,4063898
145000,145000,4024886,4159924,4095392,4279481,4076187
150000,1,3594589,3594589,3594589,3594589,3594589
150000,15000,4172569,4082324,4143887,4161243,4186660
150000,30000,4152764,4292320,4178210,4292004,4230502
150000,75000,4283287,4350802,4100127,4127474,4342886
150000,150000,4304608,4367403,4314245,4203083,4290072
300000,1,7663757,7663757,7663757,7663757,7663757
300000,30000,8834440,8935540,8774050,8811744,8775473
300000,60000,8991524,8923227,8752807,8983516,9089585
300000,150000,8924990,9044601,9098855,8834429,9039075
300000,300000,8979868,9543360,9150397,8988930,9069160
600000,1,16178272,16178272,16178272,16178272,16178272
600000,60000,18843447,18755553,18852944,18627665,18761616
600000,120000,19028213,18859683,18769447,18754154,18750879
600000,300000,19399524,19156328,18995646,18988483,19195999
600000,600000,19394355,19444813,18650689,19143575,19160964
1200000,1,34254944,34254944,34254944,34254944,34254944
1200000,120000,39796149,39357936,39168623,39443635,39608584
1200000,240000,40396708,40629054,39428753,39463992,40351795
1200000,600000,39504863,40365500,40689704,40241967,40259890
1200000,1200000,40350383,40740846,39971814,40421240,41975314
2400000,1,71912995,71912995,71912995,71912995,71912995
2400000,240000,84740956,84219213,83925257,84477981,83852864
2400000,480000,85126277,86212348,84040593,84738212,85636592
2400000,1200000,85630022,87226603,86098450,85056957,85198970
2400000,2400000,85689087,85745658,84380721,86285420,85826468
4800000,1,151419683,151419683,151419683,151419683,151419683
4800000,480000,176096921,178170468,176046745,176206095,176030096
4800000,960000,178932440,178165691,176922540,179400530,179584611
4800000,2400000,175204338,179611743,178553336,180149486,180713099
4800000,4800000,181802635,181500865,179081763,178252048,181129033
9600000,1,316451878,316451878,316451878,316451878,316451878
9600000,960000,370466450,368808195,371346010,371369128,368673283
9600000,1920000,376453230,372442713,374463936,371318530,369795805
9600000,4800000,374953888,374587954,382810607,378783916,377429249
9600000,9600000,372967498,391456398,380704051,373887687,382347725
19200000,1,663278630,663278630,663278630,663278630,663278630
19200000,1920000,774687296,777752632,773941642,766778050,774622374
19200000,3840000,777245408,795114518,780201055,777782677,772634838
19200000,9600000,778999442,810128755,797718612,781430431,795307515
19200000,19200000,789766768,786160547,828764725,800025325,796074222
